nomem_encr;cd22o_m;cd22o091;cd22o092;cd22o003;cd22o005;cd22o093;cd22o008;cd22o009;cd22o010;cd22o088;cd22o012;cd22o013;cd22o014;cd22o015;cd22o083;cd22o018;cd22o019;cd22o020;cd22o021;cd22o024;cd22o025;cd22o026;cd22o027;cd22o028;cd22o029;cd22o030;cd22o094;cd22o033;cd22o034;cd22o035;cd22o036;cd22o038;cd22o039;cd22o041;cd22o089;cd22o042;cd22o043;cd22o044;cd22o045;cd22o046;cd22o047;cd22o048;cd22o049;cd22o050;cd22o090;cd22o051;cd22o052;cd22o053;cd22o054;cd22o058;cd22o060;cd22o061;cd22o062;cd22o063;cd22o095;cd22o066;cd22o084;cd22o085;cd22o069;cd22o096;cd22o072;cd22o073;cd22o074;cd22o075;cd22o076;cd22o077;cd22o078;cd22o079;cd22o080;cd22o081;cd22o082
800561;202207;7;8;3; ; ; ; ; ; ; ; ;2018;1;-9;1;-9;1;-9;-9;186000;1;2;-9; ;2; ; ;4;2;2018;3;2;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;04/07/2022;16:03:29;04/07/2022;16:06:04;155
800570;202207;7;7;3; ; ; ; ; ; ; ; ;2005;1;200000;1;12763;1;-9;650000;252500;1;1;401000;2021;2; ; ;5;2;2005;4;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;2;4;4;4;5;06/07/2022;13:30:12;06/07/2022;13:46:13;961
800575;202207;9;9;3; ; ; ; ; ; ; ; ;2018;1;170000;1;100000;1;-9;500000;346000;1;1;-9; ;3; ; ;5;2;2018;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;2;5;2;4;3;05/07/2022;12:30:09;05/07/2022;12:34:07;238
800611;202207;7;7;3; ; ; ; ; ; ; ; ;2010;1;-8;-9; ;-9; ;100000; ; ; ;-9; ;-9; ; ;6;2;2010;4;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;3;4;2;3;3;18/07/2022;12:24:52;18/07/2022;12:28:22;210
800671;202207;8;8;3; ; ; ; ; ; ; ; ;1988;2; ; ; ; ; ;480000;170000;2;4;-9; ;3; ; ;4;2;1988;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;2;4;3;3;3;18/07/2022;14:58:32;18/07/2022;15:01:14;162
800674;202207;7;4;3; ; ; ; ; ; ; ; ;2001;1;128500;1;2100;1;2110;155000;240000;2;3;152000;2021;1;2;500;2;1;2003;5;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;4;5;5;5;06/07/2022;14:37:21;13/07/2022;05:17:50;571229
800677;202207;7;10;1; ;1;400;1;120;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2020;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;4;5;3;5;5;15/07/2022;17:17:09;15/07/2022;17:20:04;175
800695;202207;7;7;1; ;1;363;1;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;2;1982;5;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;5;5;5;13/07/2022;14:09:43;13/07/2022;14:13:46;243
800701;202207;9;8;3; ; ; ; ; ; ; ; ;2019;1;497985;1;10040;1;9129;700000;592500;1;3;569000;2022;3; ; ;6;2;2021;4;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;3;3;18/07/2022;14:46:21;18/07/2022;14:57:31;670
800714;202207;9;8;3; ; ; ; ; ; ; ; ;2009;1;242000;1;3000;1;6000;400000;230000;1;1;271000;2021;3; ; ;5;2;2009;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;4;2;3;3;06/07/2022;15:10:32;06/07/2022;15:18:01;449
800731;202207;8;8;3; ; ; ; ; ; ; ; ;1994;1;87000;2; ;1;1526;445000;256000;1;1;614;2022;2; ; ;4;2;1994;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;4;2;3;4;07/07/2022;15:30:22;07/07/2022;15:48:43;1101
800750;202207;9;9;3; ; ; ; ; ; ; ; ;1981;2; ; ; ; ; ;380000;136000;2;3;-9; ;3; ; ;5;2;1982;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;3;3;06/07/2022;12:05:49;06/07/2022;12:07:30;101
800762;202207;9;9;3; ; ; ; ; ; ; ; ;2009;1;588000;2; ;1;15000;825000;535000;1;3;651000;2022;2; ; ;6;2;2010;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;3;3;3;3;3;26/07/2022;21:36:27;26/07/2022;21:55:33;1146
800771;202207;8;8;1; ;1;911;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;2013;5;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;4;1;3;3;24/07/2022;15:33:14;24/07/2022;15:34:42;88
800775;202207;9;9;3; ; ; ; ; ; ; ; ;2018;1;410000;1;5500;1;6150;800000;360000;1;1;540000;2022;2; ; ;7;2;2018;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;06/07/2022;21:52:49;26/07/2022;22:38:11;1730722
800778;202207;8;6;1; ;1;406;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;2009;5;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;3;4;06/07/2022;22:44:24;06/07/2022;22:46:33;129
800848;202207;8;8;3; ; ; ; ; ; ; ; ;2021;1;435000;1;1000;1;400;515000;492500;1;2;1100;2021;2; ; ;6;2;2021;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;5;5;5;17/07/2022;22:32:54;17/07/2022;22:39:31;397
800881;202207;7;8;1; ;1;888;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;2009;5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;05/07/2022;14:05:08;05/07/2022;14:07:30;142
800894;202207;6;7;1; ;1;-8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;2;1984;4;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;2;4;4;4;4;26/07/2022;12:59:00;26/07/2022;13:01:35;155
800988;202207;10;9;3; ; ; ; ; ; ; ; ;1989;1;91000;1;91000;1;-9;500000;125000;2;3;215000;2022;2; ; ;4;2;1989;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;23/07/2022;19:30:55;23/07/2022;19:33:51;176
801011;202207;7;7;3; ; ; ; ; ; ; ; ;1998;2; ; ; ; ; ;250000; ;2;3;209000;2021;1;1;170;3;2;1998;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;25/07/2022;04:32:48;25/07/2022;04:41:07;499
801012;202207;8;8;3; ; ; ; ; ; ; ; ;1993;2; ; ; ; ; ;550000;309000;2;1;507000;2022;2; ; ;5;2;1993;1;3;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;3;4;13/07/2022;10:34:58;13/07/2022;10:48:02;784
801047;202207;10;10;3; ; ; ; ; ; ; ; ;2020;1;200000;2; ;1;-9;435000;437000;1;1;375000;2020;2; ; ;4;2;2020;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;2;5;3;3;3;05/07/2022;12:40:29;05/07/2022;12:44:51;262
801050;202207;8;9;3; ; ; ; ; ; ; ; ;2021;1;243000;1;2500;1;1090;300000;220000;1;2;180000;2021;1;1;350;5;2;2021;5;17;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;4;11/07/2022;19:18:37;11/07/2022;19:23:27;290
801055;202207;8;8;3; ; ; ; ; ; ; ; ;2012;1;148000;1;-9;1;-9;700000;298000;1;3;-9; ;1;4;500;4;2;2012;5;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;04/07/2022;15:04:04;04/07/2022;15:06:42;158
801068;202207;10;9;3; ; ; ; ; ; ; ; ;2020;1;-8;1;-8;-8; ;-8;380000;1;1;-9; ;-9; ; ;9;2;2020;6;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;3;5;3;3;3;11/07/2022;17:43:20;11/07/2022;17:50:41;441
801132;202207;8;6;1; ;1;635;2; ;1;1;147; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;2011;3;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;23/07/2022;18:31:20;23/07/2022;18:33:11;111
801144;202207;-9;8;3; ; ; ; ; ; ; ; ;2019;1;340000;1;10000;1;-8;550000;467000;1;3;-8; ;1;1;145;3;2;2020;5;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;4;4;4;11/07/2022;13:35:21;11/07/2022;13:42:13;412
801165;202207;7;6;1; ;1;520;2; ;1;1;85; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;2;1977;4;2;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;2;4;4;15/07/2022;09:27:19;15/07/2022;09:29:32;133
801174;202207;10;9;3; ; ; ; ; ; ; ; ;1998;1;25000;2; ;1;-9;450000;362000;2;1;379000;2022;1;1;176;3;2;1999;5;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;2;3;4;19/07/2022;11:19:52;19/07/2022;11:32:28;756
801205;202208;8;8;3; ; ; ; ; ; ; ; ;1987;1;99999;1;6000;1;2000;750000;333333;2;2;750000;2020;3; ; ;7;2;1987;4;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;2;4;2;3;3;04/07/2022;13:40:18;14/08/2022;12:42:22;3538924
801214;202207;8;8;3; ; ; ; ; ; ; ; ;1996;1;-8;1;-8;1;-8;-8;250000;2;1;-8; ;2; ; ;7;2;1996;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;3;3;11/07/2022;20:15:54;11/07/2022;20:17:42;108
801216;202207;8;8;3; ; ; ; ; ; ; ; ;2003;1;-8;1;-8;-8; ;300000;145000;1;2;-9; ;1;1;-8;3;2;2003;5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;4;3;26/07/2022;21:08:29;26/07/2022;21:12:59;270
801229;202207;9;8;3; ; ; ; ; ; ; ; ;1992;1;-8;1;-8;1;-8;-8; ; ; ;-8; ;2; ; ;7;2;1992;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;3;3;18/07/2022;21:40:14;18/07/2022;21:46:27;373
801268;202207;9;9;1; ;1;900;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;2;1998;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;1;3;07/07/2022;21:50:12;07/07/2022;21:52:31;139
801287;202207;10;10;3; ; ; ; ; ; ; ; ;1999;2; ; ; ; ; ;550000;529000;2;2;456000;2021;2; ; ;5;2;1999;4;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;5;5;5;04/07/2022;13:35:12;04/07/2022;13:40:49;337
801300;202207;9;7;3; ; ; ; ; ; ; ; ;2008;1;380000;1;10000;1;7600;1000000;700000;1;3;880000;2021;2; ; ;6;2;2008;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;1;3;1;150000;220000; ; ; ; ;1;1;105;2;5;5;5;5;06/07/2022;08:39:21;06/07/2022;08:43:40;259
801330;202207;-9;8;1; ;1;1074;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;2007;5;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;3;3;07/07/2022;18:25:53;07/07/2022;18:28:38;165
801361;202207;8;8;3; ; ; ; ; ; ; ; ;2005;1;400000;2; ;1;1162;500000;420000;1;1;506000;2021;3; ; ;6;2;2005;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;2;5;5;26/07/2022;05:52:25;26/07/2022;05:56:53;268
801372;202207;8;7;3; ; ; ; ; ; ; ; ;2020;2; ; ; ; ; ;375000;305000;1;1;305000;2022;3; ; ;6;2;2021;4;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;2;5;5;5;5;11/07/2022;13:04:49;11/07/2022;13:06:10;81
801386;202207;8;9;1; ;1;550;2; ;1;1;270; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;2;2012;4;2;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;3;3;05/07/2022;20:12:45;05/07/2022;20:18:10;325
801412;202207;8;9;3; ; ; ; ; ; ; ; ;1989;1;141067;2; ;1;3454;435000;189000;2;3;339000;2021;2; ; ;5;2;1989;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;4;5;08/07/2022;19:04:20;08/07/2022;19:19:11;891
801453;202207;8;7;3; ; ; ; ; ; ; ; ;1999;1;-8;2; ;1;-8;450000; ; ; ;-9; ;1;1;-9;3;2;1999;5;4;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;11/07/2022;16:45:05;11/07/2022;16:48:10;185
801467;202207;9;9;3; ; ; ; ; ; ; ; ;1988;1;200000;2; ;1;6000;800000;80000;1;1;350000;-9;2; ; ;5;2;1948;8;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;3;3;20/07/2022;11:36:55;20/07/2022;11:40:37;222
801486;202207;7;7;3; ; ; ; ; ; ; ; ;2011;1;-8;1;-8;1;-8;-8;211000;1;1;-9; ;3; ; ;5;2;2011;2;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;4;4;04/07/2022;13:07:03;04/07/2022;13:08:51;108
801550;202207;7;8;3; ; ; ; ; ; ; ; ;2006;1;230000;2; ;1;9300;320000;212000;1;1;230000;2021;2; ; ;5;2;2006;4;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;5;5;5;12/07/2022;17:57:04;12/07/2022;18:00:12;188
801556;202207;10;10;3; ; ; ; ; ; ; ; ;1955;2; ; ; ; ; ;350000;14000;2;1;312000;2021;2; ; ;3;2;1950;4;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;5;5;04/07/2022;17:07:26;04/07/2022;17:13:01;335
801568;202207;9;9;3; ; ; ; ; ; ; ; ;1992;1;600000;2; ;1;10500;1100000;645000;2;1;900000;-9;2; ; ;9;2;1992;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;4;3;21/07/2022;21:03:03;21/07/2022;21:17:32;869
801570;202208;6;6;1; ;1;560;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2018;5;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;3;5;3;3;3;16/08/2022;18:41:32;16/08/2022;18:44:29;177
801589;202207;7;10;3; ; ; ; ; ; ; ; ;2019;1;172000;1;7500;1;-9;675000;490000;1;2;530000;2022;2; ; ;5;2;2019;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;4;2;4;4;06/07/2022;10:40:10;06/07/2022;10:46:11;361
801599;202207;8;8;3; ; ; ; ; ; ; ; ;2005;2; ; ; ; ; ;370000;258000;1;1;320000;2021;3; ; ;5;2;2006;2;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;2;4;5;07/07/2022;09:17:43;07/07/2022;09:21:50;247
801602;202207;10;10;3; ; ; ; ; ; ; ; ;2013;1;160000;1;2500;1;5000;320000;175000;1;1;220000;2021;1;1;165;3;2;2013;5;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;12/07/2022;16:44:56;12/07/2022;16:50:04;308
801603;202207;6;6;1; ;1;650;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;1997;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;4;5;4;5;5;10/07/2022;15:28:34;10/07/2022;15:40:36;722
801626;202207;8;8;3; ; ; ; ; ; ; ; ;2011;1;177577;1;14117;1;4202;399000;241500;1;1;273000;2021;2; ; ;4;2;2011;4;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;2;4;4;4;4;06/07/2022;09:54:38;06/07/2022;10:19:33;1495
801713;202207;7;8;1; ;1;886;1;25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;1997;5;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;2;2;3;13/07/2022;17:18:11;13/07/2022;17:28:32;621
801748;202207;10;9;3; ; ; ; ; ; ; ; ;2020;1;133000;2; ;1;6517;500000;331000;1;3;419000;2022;2; ; ;6;2;2020;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;1;5;5;26/07/2022;21:44:51;26/07/2022;22:09:41;1490
801776;202207;8;8;3; ; ; ; ; ; ; ; ;2011;1;-9;1;-9;1;-9;-9;325000;1;1;380000;2021;2; ; ;5;2;2011;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;3;3;13/07/2022;18:38:49;13/07/2022;18:42:55;246
801777;202207;3;3;1; ;1;461;1;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1996;5;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2; ; ; ; ; ; ; ; ; ; ; ;1;5;3;4;4;14/07/2022;20:27:09;14/07/2022;20:33:41;392
