nomem_encr;ci22o_m;ci22o001;ci22o002;ci22o326;ci22o003;ci22o383;ci22o005;ci22o006;ci22o007;ci22o008;ci22o009;ci22o372;ci22o373;ci22o037;ci22o038;ci22o039;ci22o040;ci22o041;ci22o042;ci22o043;ci22o044;ci22o045;ci22o046;ci22o047;ci22o049;ci22o048;ci22o050;ci22o051;ci22o052;ci22o053;ci22o054;ci22o055;ci22o059;ci22o060;ci22o061;ci22o062;ci22o065;ci22o363;ci22o067;ci22o068;ci22o069;ci22o070;ci22o364;ci22o365;ci22o076;ci22o367;ci22o080;ci22o081;ci22o084;ci22o085;ci22o100;ci22o327;ci22o087;ci22o374;ci22o090;ci22o091;ci22o092;ci22o341;ci22o094;ci22o095;ci22o096;ci22o098;ci22o099;ci22o328;ci22o329;ci22o393;ci22o101;ci22o143;ci22o330;ci22o102;ci22o103;ci22o375;ci22o376;ci22o111;ci22o368;ci22o114;ci22o115;ci22o117;ci22o118;ci22o344;ci22o125;ci22o128;ci22o129;ci22o130;ci22o135;ci22o136;ci22o140;ci22o333;ci22o336;ci22o394;ci22o144;ci22o146;ci22o147;ci22o148;ci22o149;ci22o150;ci22o151;ci22o152;ci22o153;ci22o395;ci22o154;ci22o155;ci22o156;ci22o159;ci22o160;ci22o161;ci22o162;ci22o163;ci22o164;ci22o165;ci22o166;ci22o167;ci22o168;ci22o169;ci22o170;ci22o171;ci22o172;ci22o173;ci22o174;ci22o396;ci22o397;ci22o386;ci22o387;ci22o388;ci22o389;ci22o391;ci22o392;ci22o175;ci22o176;ci22o325;ci22o177;ci22o384;ci22o385;ci22o203;ci22o204;ci22o205;ci22o206;ci22o207;ci22o208;ci22o209;ci22o210;ci22o211;ci22o212;ci22o213;ci22o214;ci22o221;ci22o222;ci22o223;ci22o224;ci22o337;ci22o226;ci22o338;ci22o339;ci22o229;ci22o236;ci22o237;ci22o238;ci22o239;ci22o240;ci22o241;ci22o242;ci22o377;ci22o378;ci22o245;ci22o246;ci22o247;ci22o248;ci22o249;ci22o250;ci22o251;ci22o252;ci22o253;ci22o254;ci22o255;ci22o379;ci22o257;ci22o258;ci22o261;ci22o380;ci22o264;ci22o265;ci22o292;ci22o293;ci22o294;ci22o295;ci22o381;ci22o299;ci22o300;ci22o301;ci22o302;ci22o303;ci22o304;ci22o382;ci22o306;ci22o307;ci22o340;ci22o309;ci22o352;ci22o353;ci22o354;ci22o355;ci22o356;ci22o313;ci22o314;ci22o315;ci22o316;ci22o317;ci22o318;ci22o319;ci22o320;ci22o321;ci22o322
800161;202206;1;51;1970;1;3;8;8;7;2; ; ; ;0;0;0;0;0;1;0;0;0;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;25/06/2022;12:43:36; ; ; 
800170;202206;1;63;1958;0;1;7;8;5;1;1;43000; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ;-9999998;8; ;2100; ;2700;2;4;2;1;4;4;3;9;0;0;0;0;0;0;1;4;3;2; ;0; ;4;3;4; ; ;1;0;0;0; ; ; ;2; ;2; ;1;3;4;3;5;3;1;5;1;2;1;5;3;5;5;07/06/2022;03:22:26;07/06/2022;03:32:54;628
800182;202207;3;36;1986;1;1;8;7;6;1;1;-9;4;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;1;-9;1;2; ;3; ;3; ;3; ;3; ;2; ;2; ; ; ;-9999999;-9;-9999999;-9999999;-9;4000;4;4;1;4;4;4;7;7;0;0;0;0;0;0;1;4;3;1; ;0; ;3;3;8;3;2;1;0;0;0; ; ; ;2; ;2; ;1;3;4;1;5;4;1;1;1;2;1;5;3;3;2;11/07/2022;12:50:15;11/07/2022;13:00:00;585
800186;202206;1;83;1939;0;8;7;8;7;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;0;0; ; ;-9;4;-9;2; ; ;1;0;0;0;0;1; ;0;0;0;0;0;0;0;0;0;0;-9; ; ; ; ; ; ; ;4000; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;1;1500; ; ; ; ;-9999999;6; ;1800; ;1400;2;4;4;4;4;4;7;8;0;0;0;0;0;0;1;5;3;2; ; ; ;4;3;8; ; ;1;0;0;0; ; ; ;2; ;2; ;1;3;1;1;5;1;5;1;2;2;2;2;4;4;4;06/06/2022;14:48:05;06/06/2022;15:02:47;882
800201;202206;2;48;1973;1;1;6;8;7;1;1;27000; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ;-9999999;6; ;-9999999;5;2500;2;2;3;2;4;4;6;8;0;0;0;0;0;0;1;4;3;2; ;20; ;3;4;7;3;4;1;0;0;0; ; ; ;2; ;2; ;3;3;3;1;5;1;1;1;1;1;4;3;3;4;2;08/06/2022;13:22:14;08/06/2022;13:30:23;489
800204;202206;1;80;1942;1;9;8;6;5;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;0;0; ; ;10000; ;-9;2; ; ;1;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;1800; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;1;1600; ;2; ;3; ;2; ;2; ;2; ;2; ; ; ; ; ;27000; ; ;-9999999;3;1700;4;4;4;4;2;1;5;4;1;0;0;0;0;0;0;4;3;2; ; ; ;3;4;8;3;4;1;0;0;0; ; ; ;2; ;2; ;3;3;5;1;5;1;1;5;5;5;5;5;4;4;4;27/06/2022;11:22:57;27/06/2022;11:36:00;783
800215;202206;1;30;1992;1;1;8;8;6;1;1;59705; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;1;5000; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ;1;38000; ;12;59705; ; ;80000; ;60000;4;4;1;1;4;4;7;8;0;0;0;0;0;0;1;5;1;1;3;5; ;4;2;8;3;2;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;5;1;1;1;1;2;4;4;4;4;4;20/06/2022;14:29:46;20/06/2022;14:41:26;700
800216;202206;1;64;1958;1;10;7;7;7;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;1;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;43913; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;1;9995; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ;52104; ; ;57780; ;40000;2;2;2;2;2;2;5;7;0;0;0;0;0;0;1;4;3;2; ; ; ;4;3;7;4;4;1;0;0;0; ; ; ;2; ;2; ;1;3;1;1;5;1;1;1;1;1;1;4;4;4;4;14/06/2022;18:55:52;14/06/2022;19:12:14;982
800228;202206;1;69;1952;1;9;8;7;6;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;0;0; ; ;13000; ;36000; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;2; ;2; ;2; ; ; ; ; ;52000; ; ;56000; ;3500;2;2;2;2;2;2;4;7;0;0;0;0;0;0;1;3;1;2; ; ; ;3;4;8;3;3;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;5;1;1;1;1;1;2;4;2;2;2;27/06/2022;19:44:00;27/06/2022;19:56:16;736
800289;202206;2;68;1953;1;9;7;7;0;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;0;0; ; ;-9;3;-9;2; ; ;0;0;0;0;1;0; ;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ;-9;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;2; ;3; ;2; ;2; ;2; ; ; ; ; ;-9999999;7; ;-9999999;5;2500;4;4;4;4;2;1;4;10;0;0;0;0;0;0;1;4;3;2; ; ; ;4;4;8;3;3;1;0;0;0; ; ; ;2; ;2; ;1;3;1;1;5;3;1;5;1;1;1;5;5;5;5;19/06/2022;14:01:23;19/06/2022;14:09:41;498
800300;202206;1;58;1963;1;1;8;10;6;1;1;52000; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;1;180000; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ;1;28000; ;12;56000; ; ;85000; ;3000;4;4;4;4;4;4;6;9;0;0;0;0;0;0;1;5;3;1; ;0; ;4;2;9;5;2;1;0;0;0; ; ; ;2; ;2; ;1;1;5;1;5;5;1;1;1;6;1;5;3;5;5;27/06/2022;12:35:31;27/06/2022;12:46:43;672
800360;202206;1;70;1952;1;9;8;7;6;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;0;0;24021; ;11245; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ; ; ; ; ;51900; ; ;38400; ;3000;2;2;2;2;2;2;5;6;0;0;0;0;0;0;1;4;2;2; ; ; ;3;4;7;3;3;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;5;3;1;1;3;2;3;4;3;3;3;07/06/2022;21:46:15;07/06/2022;21:56:31;616
800372;202206;1;31;1990;0;1;6;-9;-9;1;1;-8;-8;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;1;-9;3;1;-9;-8;2; ;3; ;3; ;3; ;3; ;2; ;2; ; ; ;-9999998;-8;-9999998;-9999999;-8;-8;4;4;4;4;4;4;7;7;0;0;0;0;0;0;1;3;2;2; ;0; ;-9;-9;6; ; ;-8;-8;-8;-8; ; ; ;2; ;2; ;3;3;4;4;5;4;1;1;1;4;3;3;3;3;3;17/06/2022;17:19:47;17/06/2022;17:24:05;258
800392;202206;1;59;1962;1;4;7;6;4;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;1;0;0; ;0;0;0;0;0;0;0; ; ;0; ; ; ; ;41000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;2; ;2; ; ; ; ; ;35000; ; ;27300; ;2000;4;3;4;4;3;4;5;7;0;0;0;0;0;0;1;2;1;1;2; ;75;3;2;7;3;4;1;0;0;0; ; ; ;2; ;2; ;1;3;1;1;5;5;1;1;1;1;3;4;2;4;5;15/06/2022;13:04:07;15/06/2022;13:21:12;1025
800440;202207;9;34;1988;0;3;8;6;6;2; ; ; ;0;0;0;0;1;0;0;0;0;1;1;-9; ; ;6;0;0;1; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ;2; ; ; ;2000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;4;5;5;28/06/2022;21:02:58;12/07/2022;18:21:35;1199917
